crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,const
818.6675817,1,8,26,132,478,442,33,11,20399,1
817.9969369,40,160,318,1110,2104,6278,875,76,199145,1
812.1158911,0,7,10,131,226,396,26,5,18224,1
810.9662621,40,184,1192,2122,7618,3320,1529,547,436393,1
809.8427036,13,32,273,775,2937,4637,385,69,134841,1
805.8945428999999,0,1,0,34,5,23,0,0,4343,1
798.51676,22,162,502,1756,3899,9920,680,52,305817,1
798.3574913,85,268,1597,3315,9910,19810,1809,185,659479,1
793.3756981,1,7,2,196,86,308,19,16,25965,1
793.2402137999999,1,16,1,74,84,130,11,1,11598,1
782.1542957,28,183,349,1528,2426,5150,657,70,266955,1
782.1184796,193,137,1066,1566,3431,8258,2218,0,378715,1
781.9089826000001,5,44,163,956,1090,3571,516,26,149378,1
777.2585293,2,31,17,271,378,787,35,3,41299,1
773.7920330000001,9,43,169,806,1747,4207,249,4,132723,1
767.644257,12,30,103,685,1611,2713,346,54,108123,1
766.7864603999999,13,42,174,729,1702,3616,330,42,124937,1
763.9897241,8,21,47,266,891,1273,114,6,44765,1
762.1467132,2,14,26,246,419,1151,194,14,37788,1
754.3456871000001,1,12,3,53,58,90,4,5,9147,1
753.6935735000001,153,477,6220,5050,13245,35841,13044,337,1578891,1
752.455044,0,4,40,192,741,826,42,0,31364,1
746.3016117999999,10,17,70,410,1178,2471,217,11,67935,1
742.0733078,0,0,2,64,23,116,12,0,8894,1
740.6920961,12,139,328,1664,3400,9224,828,52,289324,1
739.3084622,0,3,2,124,139,365,23,3,17584,1
738.8316151,1,0,5,80,105,171,65,5,11640,1
738.4818924,50,329,1184,3416,7857,22025,3032,139,674221,1
732.7796776,1,9,5,60,115,144,13,4,10235,1
730.3646372999999,0,4,18,112,255,511,66,8,18347,1
725.2206951000001,7,97,165,1029,1754,3623,903,35,178980,1
724.7580365,6,31,49,394,734,1600,119,13,66229,1
722.6925459,1,14,3,52,36,59,11,1,9686,1
721.5219335,66,143,846,712,4627,7416,1272,69,244899,1
720.6877628999999,1,15,7,174,232,199,51,2,27335,1
719.1412721,45,381,1122,2928,7291,15582,2702,263,622409,1
717.8582747,5,37,51,428,1029,1952,80,7,72577,1
710.8948399,20,114,554,1106,3147,6454,519,99,252358,1
